"","Date","Lamp","Laptop","Router","Coffee","Entertainment","Fridge","Kettle"
"1","2012-06-27",0,18.3784785427903,20.0753724079261,5.11031505358921e-05,25.648738356212,12.084806385796,6.27982747031181
"2","2012-06-28",-0.168659009467812,4.57622755573046,16.6508271591935,5.42369408574273,12.3892240225468,9.92344860552328,-0.163528888400194
"3","2012-06-29",-0.256475844348249,3.95915237875877,14.7536720630107,5.13298329614111,41.8809686265886,9.41043676196208,-0.256411485682539
"4","2012-06-30",-0.0046490044908447,5.69474683939443,20.2184915507303,9.17262495011459,29.0208250376166,19.452281301419,4.45367027014514
"5","2012-07-01",-0.00163198222181069,8.59899763200537,20.13509793398,5.00523501273178,26.5602863121831,12.7320797115674,0
"6","2012-07-02",0,5.38052389673372,20.1268054642469,3.25363967221464,15.0098747239519,11.4981979437024,4.47018813629945
"7","2012-07-03",0,5.27155823688048,20.0991638984699,7.55978147642307e-05,23.5203280342138,12.0600012176208,0.447439155073034
"8","2012-07-04",0,5.26988487083034,20.1150084388528,7.55978147642307e-05,25.0249830227552,10.8040054755897,5.03767501307901
"9","2012-07-05",0.000125477094377185,8.09294970786361,20.100842136392,2.66083705641334e-05,58.0272751209519,11.6730348311303,6.62841846825158
"10","2012-07-06",0.000125477094377185,8.39851069341883,20.09560998287,1.8545024820019,28.2881858781453,10.6035886212644,4.61132786383944
"11","2012-07-07",-0.00706389916433251,5.62146399962962,20.0911429084007,4.19120157735133,35.7196097421237,14.0168306268664,4.98733766985347e-05
"12","2012-07-08",0,5.68295974524873,20.177646201301,4.66561210421538,27.1687462198199,12.1007800337971,9.40928893029931
"13","2012-07-09",5.03093821616241e-05,5.62254676589736,20.1529662318572,0.000126700965300123,20.4521612213246,11.5588412210931,8.49104847589065
"14","2012-07-10",2.54508206208477e-05,5.61777275098961,20.1760666832566,3.96261429408088,23.6706069411329,12.1661485589944,3.81215150813676
"15","2012-07-11",0,16.4402728316628,20.120141872497,2.9062187167527,15.1166592085465,11.9082975237853,5.95396992985949
"16","2012-07-12",-0.0145142248663164,16.2412703934119,19.9222780156948,7.73285996736036,25.8785240156022,11.2374619715734,20.8196157297623
"17","2012-07-13",-0.0236440785666335,8.46490093648001,19.5781090175699,-0.0236429210166902,20.9650545857543,10.1509867089516,5.48436676890669
"18","2012-07-14",-0.636285574897567,0.302661535567953,6.65581395865645,-0.636322600060187,4.87750685085303,3.38281346975625,-0.636322600060187
"19","2012-07-15",-0.622626141461608,0.0992197740688443,12.1691950994236,-0.46457093914211,9.13282714646173,5.27018885251973,-0.461640649552073
"20","2012-07-16",-0.461269949535869,0.753088151461839,20.0377354545244,-0.179460172689183,15.1327422671821,8.46147668881224,-0.172260931966018
"21","2012-07-17",-0.464034507396005,0.751334804856594,20.0544931537767,-0.173964323016737,15.1045722898678,9.11221005671428,-0.166195976758721
"22","2012-07-18",-0.465096452464177,0.752539235051737,20.0167255619343,-0.172538716173986,15.0659108486308,10.4289319447209,-0.160038426815436
"23","2012-07-19",-0.451711845181601,0.755532975068867,20.1127378816639,-0.166080233338735,15.0814097340216,11.2343492643348,-0.150466445982546
"24","2012-07-20",-0.443575082756545,0.750844899187481,20.0704364140374,-0.168626588578439,15.0624899696752,10.3301913393829,-0.148820727100164
"25","2012-07-21",-0.451331732563254,0.758296622259775,20.0384511736383,-0.173442131646566,23.4384437625871,10.3014520248154,-0.152152723905646
"26","2012-07-22",-0.466353387809903,0.763556662075511,20.0553322727378,6.38705030741452,26.3930245410773,10.3512624486678,-0.162746822843121
"27","2012-07-23",-0.453723478552744,0.753681195166555,20.0377354545244,3.92435034792472,20.5751723431098,11.3959938887474,-0.148487233500775
"28","2012-07-24",-0.454200328711313,12.6422222912567,19.8316330296998,5.84602785920971,15.1331862438945,9.76581014722563,-0.151519711104424
"29","2012-07-25",-0.463746858723582,5.62383581795875,19.6491869638186,6.91595598671265,17.4836701682909,11.4325483499618,10.4453945572814
"30","2012-07-26",-0.445855228130281,5.68967721394014,19.8679866246904,5.74912505405218,18.0793713650779,13.1845708842797,3.78855324151022
"31","2012-07-27",-0.445924674182273,5.65726858642561,19.9358565406607,7.55410599678233,20.2492007777958,15.596919823607,-0.140302011389153
"32","2012-07-28",-0.450334498483761,16.2683724532975,19.9249233141971,10.3369518167087,21.8709276105928,14.3532478763397,-0.15043172295655
"33","2012-07-29",0.322751217042061,13.918458385495,19.9220357577722,7.27090762124123,28.5246453922544,12.336084644089,-0.158614782749601
"34","2012-07-30",-0.44112132225283,9.92071545498738,20.0928211463228,-0.169431986735804,24.1491059457395,10.678273385495,-0.151317957591611
"35","2012-07-31",-0.451580515405449,12.5547295637631,19.9464689275215,9.03605857485127,15.3881714588301,12.8808054306813,-0.154816236255469
"36","2012-08-01",-0.455797587907127,10.6595449140026,19.8144557709669,3.10334048693257,15.8814826593208,11.9024555117017,-0.160238199263872
"37","2012-08-02",-0.451881579318966,23.0239228402278,19.8190462452835,6.57707421942637,23.1620029595592,12.9457074953124,-0.146901548646959
"38","2012-08-03",-0.433456936734647,5.65178092351675,19.8061633012338,5.47003700282414,20.4926634864233,13.3472360200468,-0.556714275793421
"39","2012-08-04",-0.453349680085187,5.69386063531563,19.8041642237089,7.66068336037872,15.149096641126,12.195883227621,-0.153570629644205
"40","2012-08-05",-0.445380680108336,5.66634905206139,20.6000685583,-0.164021963355633,38.0451853711891,13.209116296905,4.76939396745295
"41","2012-08-06",-0.451520934049399,10.4574401950277,19.8151468101113,-0.167057133035487,27.8917745839024,11.5448545468645,6.02641281650038
